Ref,Val,Package,PosX,PosY,Rot,Side
"1.1V_ETH1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",218.700000,-95.600000,90.000000,top
"1.8VD1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",186.450000,-48.100000,0.000000,top
"1.25VCOM1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",167.200000,-68.600000,0.000000,top
"2.5VREF1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",138.400000,-140.400000,0.000000,top
"2.5V_ETH1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",218.000000,-89.600000,-90.000000,top
"3.3VA_ADC1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",167.200000,-73.600000,0.000000,top
"3.3VCCA1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",186.200000,-63.100000,0.000000,top
"3.3VD1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",154.450000,-77.600000,0.000000,top
"3.3VD_ADC1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",173.600000,-44.600000,0.000000,top
"3.3V_USB1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",186.200000,-56.600000,0.000000,top
"ADC1AINB1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",154.200000,-112.600000,0.000000,top
"ADC1AINC1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",137.700000,-106.100000,0.000000,top
"ADC1AIND1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",133.400000,-140.600000,180.000000,top
"ADC1_AINA1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",150.200000,-127.100000,0.000000,top
"ADC1_CS1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",154.200000,-109.100000,0.000000,top
"ADC1_SCLK1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",154.200000,-85.100000,0.000000,top
"ADC1_SDOA1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",142.700000,-92.600000,0.000000,top
"ADC1_SDOB1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",154.200000,-81.100000,0.000000,top
